val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0.010291738921637553,239048.40446727135,0.025133004148506513,92729.932041102
0.008304577587761349,130836.76436113882,0.00966895500128552,49588.89954591344
0.007816905931481053,131891.13961694908,0.00924455402286376,55054.12973400077
0.007214633947846439,121144.42037763326,0.008235256696530318,45865.29685562082
0.007024382828832975,70046.75757489535,0.007833545076392464,37100.48656892524
0.005803686286535851,101945.79919079092,0.006727890283942728,39784.791487148475
0.005730693440424676,168415.6971997945,0.006080210488037033,32514.85630779926
0.004845754000427714,122780.21862771394,0.005503728630494769,35679.070914106465
0.004311694465529719,42472.91024009489,0.005014447380362426,30515.996598339018
0.004047105519776173,54159.017808217926,0.0045752136374555405,24372.60456735695
0.004348668734277275,118908.94928786074,0.004268798824273429,27257.860897453953
0.004089381962363395,152945.12052988086,0.004235968841145099,24261.46808247789
0.0037461373940646495,100529.01375476866,0.004076871823014344,30606.9414729141
0.004302872277216885,154588.62646540272,0.003880410884838488,28250.74497866718
0.003814517638279762,163904.58096774868,0.0038725066898485363,31662.102365279115
0.0036564948304213946,77029.99972518244,0.0037333374573391372,19823.31963748324
0.003405023172885601,84140.11487174586,0.003654196660428987,29288.02741743909
0.004005155594933271,115111.38672492804,0.003604958658217121,22084.818093551377
0.003362035486550288,140757.14220292648,0.0034431459617690514,26491.904218152064
0.003397826691323312,148007.23987759784,0.003417779616853696,37840.53696816913
0.0030369110522758223,76721.37514461037,0.0035150513552697532,19252.299997589886
0.0031518684113565785,122630.26447614851,0.0032728102252645008,35686.38166288447
0.0033499955218812033,40121.43302132967,0.0033106006741902587,24859.270528156347
0.002926064925124644,104900.69491881148,0.0032141477705247825,20430.27326465723
0.0029502380932597467,107414.9878095563,0.0032592643906315,25507.05682837535
0.0028698840358110196,67098.23559280043,0.0031734067957090626,32068.3287051583
0.0035420450624940405,113463.71556016289,0.003201924889679935,21627.15933740829
0.003285054665700482,109983.82880378077,0.003104624329766227,25158.60368844656
0.003073081309526469,133438.51442162483,0.003052503140516958,37058.78969430619
0.003008089632222041,124825.77488861476,0.003089751977662919,28119.697964049257
0.002750203290841707,85099.10596638167,0.0030602235580652446,32632.26610654902
0.003043366660146105,66039.68463926144,0.003002378600223337,31038.18287688433
0.0028249457051168292,109817.78898531367,0.0029667673524532276,32519.832310456874
0.003261549957335991,115890.87898832973,0.002932405016779647,28565.718181080963
0.00268206030404516,82229.43472393988,0.0029222435387703826,27291.913868588465
0.003078725409231946,59102.166233050484,0.0029512984363709465,23559.750961243968
0.0028130329539640246,40282.38554135202,0.0028828787142253023,26836.6654702076
